File,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1MB,11,6,4,4,5,4,3,3,4,4,3,3,4,4,3,3
2MB,22,12,9,6,11,10,9,6,8,8,7,7,8,8,7,7
4MB,45,25,19,16,22,20,15,14,17,16,18,14,16,16,15,15
9MB,91,52,39,33,45,40,30,29,35,32,30,29,33,32,31,32
1155MB,12471,7094,5398,4626,4634,5526,5088,4971,4967,5411,5238,5183,5262,5535,5420,5107
144MB,1561,886,675,555,569,662,608,605,603,656,631,622,635,670,654,625
18MB,183,105,80,69,91,82,62,58,70,66,63,61,69,64,62,60
288MB,3116,1772,1353,1164,1186,1381,1213,1197,1193,1301,1254,1242,1282,1337,1308,1255
36MB,362,195,140,114,136,138,124,117,140,132,126,122,138,136,131,122
577MB,6242,3559,2696,2330,2341,2755,2540,2489,2493,2710,2617,2589,2645,2662,2602,2505
72MB,782,420,320,275,286,329,301,297,307,325,313,310,323,333,326,313
